Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:41250000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
41250000;1;01/06/2023;;1;1;"5,6263";"5,0638";"5,432";1;28;1;1;1;;0;"5,6263";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,5445";"5,4632";"5,302";"5,2222";"5,2222";"5,2222";"5,2222";"5,1428";"5,0638";"5,0638";"5,0638";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
41250000;1;01/05/2023;;1;1;"7,4498";"5,7085";"6,1536";1;28;1;1;1;;0;"7,4498";"6,9084";"6,8197";"6,7315";"6,6437";"6,3832";"6,3832";"6,3832";"6,2117";"6,2117";"6,2117";"6,2117";"6,2117";"6,2117";"6,0421";"6,0421";"6,0421";"5,958";"5,8744";"5,8744";"5,8744";"5,8744";"5,8744";"5,8744";"5,8744";"5,8744";"5,8744";"5,7085";"5,7085";"5,7085";"5,7085";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
41250000;1;01/04/2023;;1;1;"15,859";"6,7315";"7,7117";10;1;1;1;1;;0;"6,7315";"6,8197";"8,1015";"7,1771";"6,9084";"6,7315";"6,7315";"6,9084";"11,5634";"15,859";"8,9706";"7,9131";"7,8196";"7,6338";"7,6338";"7,4498";"6,9084";"6,9084";"7,1771";"8,1963";"7,0871";"6,9084";"6,9084";"6,9084";"6,7315";"6,7315";"6,7315";"6,9975";"8,2916";"7,9131";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
41250000;1;01/03/2023;;1;1;"17,1098";"6,9084";"8,318";12;30;1;1;1;"0,0";0;"8,8724";"8,4835";"8,3873";"8,3873";"8,3873";"8,1963";"8,1963";"8,1963";"8,1015";"8,0071";"8,0071";"17,1098";"11,6724";"9,1685";"8,7745";"8,2916";"8,0071";"7,9131";"8,0071";"7,9131";"7,6338";"7,6338";"7,4498";"7,2675";"7,2675";"7,2675";"7,1771";"7,2675";"6,9975";"6,9084";"6,9084";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
41250000;1;01/02/2023;;1;1;"60,5089";"9,1685";"16,1782";18;28;1;1;1;"0,0";0;"14,5266";"12,4468";"11,4548";"10,9177";"10,6003";"10,0796";"11,5634";"12,559";"25,9679";"12,7847";"11,4548";"11,4548";"13,2406";"11,4548";"19,3207";"46,6185";"23,9076";"60,5089";"25,3724";"14,6459";"12,2236";"11,0243";"10,4954";"10,2867";"9,7721";"9,5692";"9,5692";"9,1685";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
41250000;1;01/01/2023;;1;1;"142,0981";"9,7721";"36,9562";8;1;1;1;1;"0,0";0;"9,7721";"10,1829";"10,0796";"31,2452";"31,5675";"47,5632";"118,2601";"142,0981";"72,1735";"60,7175";"36,8986";"58,0274";"41,8273";"55,7887";"24,7824";"16,605";"13,7028";"12,6716";"12,6716";"14,7655";"48,8982";"39,6853";"27,3274";"19,1877";"37,2426";"39,8621";"19,8561";"18,2671";"15,6134";"38,9811";"19,3207";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
41250000;1;01/12/2022;;1;1;"96,2923";"6,9099";"16,5418";21;3;1;1;1;;0;"11,5642";"8,5814";"6,9099";"9,2693";"11,2396";"8,0085";"8,3887";"13,3559";"8,7758";"7,1786";"16,3542";"6,999";"9,4696";"11,6732";"8,0085";"6,9099";"7,9145";"18,1358";"13,0123";"47,3565";"96,2923";"53,5634";"16,2297";"11,3474";"9,9778";"10,6013";"23,3279";"14,7654";"10,9186";"11,7826";"14,8853";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
41250000;1;01/11/2022;;1;1;"34,6842";"5,1444";"8,8851";30;7;1;1;1;;0;"5,3036";"15,8586";"11,1322";"7,543";"5,384";"5,384";"5,1444";"7,543";"7,3599";"6,3847";"6,2988";"11,2396";"8,7758";"6,6453";"12,3356";"10,8124";"8,0085";"6,6453";"6,2133";"5,7101";"5,384";"5,2238";"5,2238";"5,7928";"7,4513";"5,6279";"11,1322";"7,9145";"18,3962";"34,6842";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
41250000;1;01/10/2022;;1;1;"9,3692";"2,9289";"4,3238";4;18;1;1;1;;0;"4,2294";"4,0117";"3,8691";"9,3692";"7,1786";"4,909";"4,3029";"4,0117";"3,8691";"3,7286";"3,5901";"3,4536";"3,3193";"3,1871";"3,1871";"3,1217";"2,9927";"2,9289";"2,9289";"3,0569";"4,6021";"5,7101";"4,909";"4,7546";"4,6781";"4,6021";"4,3029";"4,3029";"4,4515";"4,6021";"5,876";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
41250000;1;01/09/2022;;1;1;"5,384";"3,1871";"3,3959";29;10;1;1;1;;0;"3,3193";"3,3193";"3,3193";"3,3193";"3,3193";"3,3193";"3,3193";"3,3193";"3,3193";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,1871";"3,3193";"3,5216";"3,7986";"5,384";"4,987";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
