Data;Vazao;VazaoStatus;Unidades;MetodoObtencao;NivelConsistencia;CodigoEstacao;Responsavel
2022-12-01;0.0;187,863;m³/s;1;1;41340000;ANA
2022-12-02;135,9585;;m³/s;1;1;41340000;ANA
2022-12-03;119,0932;;m³/s;1;1;41340000;ANA
2022-12-04;77,4194;;m³/s;1;1;41340000;ANA
2022-12-05;61,5412;;m³/s;1;1;41340000;ANA
2022-12-06;62,874;;m³/s;1;1;41340000;ANA
2022-12-07;49,9789;;m³/s;1;1;41340000;ANA
2022-12-08;60,2179;;m³/s;1;1;41340000;ANA
2022-12-09;248,1351;;m³/s;1;1;41340000;ANA
2022-12-10;82,4844;;m³/s;1;1;41340000;ANA
2022-12-11;55,3405;;m³/s;1;1;41340000;ANA
2022-12-12;109,3321;;m³/s;1;1;41340000;ANA
2022-12-13;88,4005;;m³/s;1;1;41340000;ANA
2022-12-14;129,1245;;m³/s;1;1;41340000;ANA
2022-12-15;190,7441;;m³/s;1;1;41340000;ANA
2022-12-16;86,1662;;m³/s;1;1;41340000;ANA
2022-12-17;59,5598;;m³/s;1;1;41340000;ANA
2022-12-18;51,2243;;m³/s;1;1;41340000;ANA
2022-12-19;145,5421;;m³/s;1;1;41340000;ANA
2022-12-20;65,5674;;m³/s;1;1;41340000;ANA
2022-12-21;164,4226;;m³/s;1;1;41340000;ANA
2022-12-22;513,9324;;m³/s;1;1;41340000;ANA
2022-12-23;283,555;;m³/s;1;1;41340000;ANA
2022-12-24;135,9585;;m³/s;1;1;41340000;ANA
2022-12-25;92,925;;m³/s;1;1;41340000;ANA
2022-12-26;78,1365;;m³/s;1;1;41340000;ANA
2022-12-27;72,461;;m³/s;1;1;41340000;ANA
2022-12-28;136,8208;;m³/s;1;1;41340000;ANA
2022-12-29;91,4086;;m³/s;1;1;41340000;ANA
2022-12-30;70,3692;;m³/s;1;1;41340000;ANA
2022-12-31;70,7165;;m³/s;1;1;41340000;ANA
2022-11-01;0.0;169,0283;m³/s;1;1;41340000;ANA
2022-11-02;40,3877;;m³/s;1;1;41340000;ANA
2022-11-03;72,461;;m³/s;1;1;41340000;ANA
2022-11-04;81,0265;;m³/s;1;1;41340000;ANA
2022-11-05;56,9512;;m³/s;1;1;41340000;ANA
2022-11-06;39,2366;;m³/s;1;1;41340000;ANA
2022-11-07;30,4337;;m³/s;1;1;41340000;ANA
2022-11-08;28,0931;;m³/s;1;1;41340000;ANA
2022-11-09;33,6485;;m³/s;1;1;41340000;ANA
2022-11-10;47,214;;m³/s;1;1;41340000;ANA
2022-11-11;58,5771;;m³/s;1;1;41340000;ANA
2022-11-12;45,7004;;m³/s;1;1;41340000;ANA
2022-11-13;83,9508;;m³/s;1;1;41340000;ANA
2022-11-14;52,4797;;m³/s;1;1;41340000;ANA
2022-11-15;39,2366;;m³/s;1;1;41340000;ANA
2022-11-16;82,4844;;m³/s;1;1;41340000;ANA
2022-11-17;87,281;;m³/s;1;1;41340000;ANA
2022-11-18;101,4101;;m³/s;1;1;41340000;ANA
2022-11-19;51,8507;;m³/s;1;1;41340000;ANA
2022-11-20;40,9673;;m³/s;1;1;41340000;ANA
2022-11-21;31,4935;;m³/s;1;1;41340000;ANA
2022-11-22;29,9082;;m³/s;1;1;41340000;ANA
2022-11-23;29,6467;;m³/s;1;1;41340000;ANA
2022-11-24;28,0931;;m³/s;1;1;41340000;ANA
2022-11-25;31,7603;;m³/s;1;1;41340000;ANA
2022-11-26;48,1299;;m³/s;1;1;41340000;ANA
2022-11-27;55,6614;;m³/s;1;1;41340000;ANA
2022-11-28;153,5411;;m³/s;1;1;41340000;ANA
2022-11-29;69,6765;;m³/s;1;1;41340000;ANA
2022-11-30;108,5312;;m³/s;1;1;41340000;ANA
2022-10-01;0.0;24,0873;m³/s;1;1;41340000;ANA
2022-10-02;26,3157;;m³/s;1;1;41340000;ANA
2022-10-03;26,0649;;m³/s;1;1;41340000;ANA
2022-10-04;25,3173;;m³/s;1;1;41340000;ANA
2022-10-05;39,5234;;m³/s;1;1;41340000;ANA
2022-10-06;54,0629;;m³/s;1;1;41340000;ANA
2022-10-07;40,3877;;m³/s;1;1;41340000;ANA
2022-10-08;30,1706;;m³/s;1;1;41340000;ANA
2022-10-09;33,9212;;m³/s;1;1;41340000;ANA
2022-10-10;28,6079;;m³/s;1;1;41340000;ANA
2022-10-11;23,359;;m³/s;1;1;41340000;ANA
2022-10-12;23,359;;m³/s;1;1;41340000;ANA
2022-10-13;21,2187;;m³/s;1;1;41340000;ANA
2022-10-14;19,8299;;m³/s;1;1;41340000;ANA
2022-10-15;18,2491;;m³/s;1;1;41340000;ANA
2022-10-16;17,1467;;m³/s;1;1;41340000;ANA
2022-10-17;16,929;;m³/s;1;1;41340000;ANA
2022-10-18;16,0671;;m³/s;1;1;41340000;ANA
2022-10-19;17,8055;;m³/s;1;1;41340000;ANA
2022-10-20;15,0108;;m³/s;1;1;41340000;ANA
2022-10-21;29,3858;;m³/s;1;1;41340000;ANA
2022-10-22;30,9621;;m³/s;1;1;41340000;ANA
2022-10-23;25,3173;;m³/s;1;1;41340000;ANA
2022-10-24;47,214;;m³/s;1;1;41340000;ANA
2022-10-25;41,5496;;m³/s;1;1;41340000;ANA
2022-10-26;55,3405;;m³/s;1;1;41340000;ANA
2022-10-27;31,4935;;m³/s;1;1;41340000;ANA
2022-10-28;26,0649;;m³/s;1;1;41340000;ANA
